[0.0 <= x < 30.0; y_0= 69.0 + 0.0x; interpolation
, 30.0 <= x < 60.0; y_1= 69.0 + 0.5x; interpolation
, 60.0 <= x < 90.0; y_2= 97.0 + -0.4333x; interpolation
, 90.0 <= x < 120.0; y_3= 67.0 + 0.0667x; interpolation
, 120.0 <= x < 150.0; y_4= 25.0 + 0.5333x; interpolation
, 150.0 <= x < 180.0; y_5= 145.0 + -0.4667x; interpolation
, 180.0 <= x < 210.0; y_6= -10.0 + 0.5667x; interpolation
, 210.0 <= x < 240.0; y_7= 128.0 + -0.2x; interpolation
, 240.0 <= x < 270.0; y_8= 177.0 + -0.4333x; interpolation
, 270.0 <= x < 300.0; y_9= 41.0 + 0.1333x; interpolation
, 300.0 <= x < 330.0; y_10= -58.0 + 0.5x; interpolation
, 330.0 <= x < 360.0; y_11= 122.0 + -0.1x; interpolation
, 360.0 <= x < 390.0; y_12= 243.0 + -0.4667x; interpolation
, 390.0 <= x < 420.0; y_13= 75.0 + 0.0x; interpolation
, 420.0 <= x < 450.0; y_14= -107.0 + 0.4667x; interpolation
, 450.0 <= x < 480.0; y_15= 61.0 + 0.0667x; interpolation
, 480.0 <= x < 510.0; y_16= 361.0 + -0.6x; interpolation
, 510.0 <= x < 540.0; y_17= 57.0 + 0.0333x; interpolation
, 540.0 <= x < 570.0; y_18= -249.0 + 0.6333x; interpolation
, 570.0 <= x < 600.0; y_19= 201.0 + -0.2x; interpolation
, 600.0 <= x < 630.0; y_20= 315.0 + -0.4x; interpolation
, 630.0 <= x < 660.0; y_21= -25.0 + 0.1667x; interpolation
, 660.0 <= x < 690.0; y_22= -214.0 + 0.4667x; interpolation
, 690.0 <= x < 720.0; y_23= 182.0 + -0.1333x; interpolation
, 720.0 <= x < 750.0; y_24= 481.0 + -0.5667x; interpolation
, 750.0 <= x < 780.0; y_25= -47.0 + 0.1667x; interpolation
, 780.0 <= x < 810.0; y_26= -297.0 + 0.5x; interpolation
, 810.0 <= x < 840.0; y_27= 197.0 + -0.1333x; interpolation
, 840.0 <= x < 870.0; y_28= 494.0 + -0.5x; interpolation
, 870.0 <= x < 900.0; y_29= -66.0 + 0.1667x; interpolation
, 900.0 <= x < 930.0; y_30= -269.0 + 0.4x; interpolation
, 930.0 <= x < 960.0; y_31= 241.0 + -0.1667x; interpolation
, 960.0 <= x < 990.0; y_32= 551.0 + -0.5x; interpolation
, 990.0 <= x < 1020.0; y_33= -57.0 + 0.1333x; interpolation
, 1020.0 <= x < 1050.0; y_34= -387.0 + 0.4667x; interpolation
, 1050.0 <= x < 1080.0; y_35= 565.0 + -0.4667x; interpolation
, 1080.0 <= x < 1110.0; y_36= 180.0 + -0.1x; interpolation
, 1110.0 <= x < 1140.0; y_37= -72.0 + 0.1333x; interpolation
, 1140.0 <= x < 1170.0; y_38= -368.0 + 0.4x; interpolation
, 1170.0 <= x < 1200.0; y_39= 202.0 + -0.1x; interpolation
, 1200.0 <= x < 1230.0; y_40= 553.0 + -0.4x; interpolation
, 1230.0 <= x < 1260.0; y_41= -87.0 + 0.1333x; interpolation
, 1260.0 <= x < 1290.0; y_42= -415.0 + 0.4x; interpolation
, 1290.0 <= x < 1320.0; y_43= 341.0 + -0.2x; interpolation
, 1320.0 <= x < 1350.0; y_44= 513.0 + -0.3333x; interpolation
, 1350.0 <= x < 1380.0; y_45= -103.0 + 0.1333x; interpolation
, 1380.0 <= x < 1410.0; y_46= -418.0 + 0.3667x; interpolation
, 1410.0 <= x < 1440.0; y_47= 732.0 + -0.4667x; interpolation
, 1440.0 <= x < 1470.0; y_48= 168.0 + -0.0667x; interpolation
, 1470.0 <= x < 1500.0; y_49= -216.0 + 0.2x; interpolation
, 1500.0 <= x < 1530.0; y_50= -412.0 + 0.3333x; interpolation
, 1530.0 <= x < 1560.0; y_51= 438.0 + -0.2333x; interpolation
, 1560.0 <= x < 1590.0; y_52= 489.0 + -0.2667x; interpolation
, 1590.0 <= x < 1620.0; y_53= -343.0 + 0.2667x; interpolation
, 1620.0 <= x < 1650.0; y_54= -290.0 + 0.2333x; interpolation
, 1650.0 <= x < 1680.0; y_55= 952.0 + -0.5333x; interpolation
, 1680.0 <= x < 1710.0; y_56= 72.0 + 0.0x; interpolation
, 1710.0 <= x < 1740.0; y_57= -768.0 + 0.5x; interpolation
, 1740.0 <= x < 1770.0; y_58= -27.0 + 0.0667x; interpolation
, 1770.0 <= x < 1800.0; y_59= 1133.0 + -0.6x; interpolation
, 1800.0 <= x < 1830.0; y_60= -47.0 + 0.0667x; interpolation
, 1830.0 <= x < 1860.0; y_61= -1007.0 + 0.6x; interpolation
, 1860.0 <= x < 1890.0; y_62= 274.0 + -0.1x; interpolation
, 1890.0 <= x < 1920.0; y_63= 1080.0 + -0.5333x; interpolation
, 1920.0 <= x < 1950.0; y_64= -180.0 + 0.1333x; interpolation
, 1950.0 <= x < 1980.0; y_65= 396.0 + -0.1667x; interpolation
, 1980.0 <= x < 2010.0; y_66= 201.0 + -0.0667x; interpolation
, 2010.0 <= x < 2040.0; y_67= -1317.0 + 0.7x; interpolation
, 2040.0 <= x < 2070.0; y_68= 224.0 + -0.0667x; interpolation
, 2070.0 <= x < 2100.0; y_69= 1244.0 + -0.5667x; interpolation
, 2100.0 <= x < 2130.0; y_70= -1309.0 + 0.6667x; interpolation
, 2130.0 <= x < 2160.0; y_71= 1421.0 + -0.6333x; interpolation
, 2160.0 <= x < 2190.0; y_72= 143.0 + -0.0333x; interpolation
, 2190.0 <= x < 2220.0; y_73= -1225.0 + 0.6x; interpolation
, 2220.0 <= x < 2250.0; y_74= 308.0 + -0.1x; interpolation
, 2250.0 <= x < 2280.0; y_75= 1344.0 + -0.5667x; interpolation
, 2280.0 <= x < 2310.0; y_76= -156.0 + 0.1x; interpolation
, 2310.0 <= x < 2340.0; y_77= -1068.0 + 0.5x; interpolation
, 2340.0 <= x < 2370.0; y_78= 1242.0 + -0.5x; interpolation
, 2370.0 <= x < 2400.0; y_79= -1254.0 + 0.5667x; interpolation
, 2400.0 <= x < 2430.0; y_80= 247.0 + -0.0667x; interpolation
, 2430.0 <= x < 2460.0; y_81= 1527.0 + -0.6x; interpolation
, 2460.0 <= x < 2490.0; y_82= -174.0 + 0.1x; interpolation
, 2490.0 <= x < 2520.0; y_83= -1076.0 + 0.4667x; interpolation
, 2520.0 <= x < 2550.0; y_84= 335.0 + -0.1x; interpolation
, 2550.0 <= x < 2580.0; y_85= 1511.0 + -0.5667x; interpolation
, 2580.0 <= x < 2610.0; y_86= -444.0 + 0.2x; interpolation
, 2610.0 <= x < 2640.0; y_87= -1390.0 + 0.5667x; interpolation
, 2640.0 <= x < 2670.0; y_88= 437.0 + -0.1333x; interpolation
, 2670.0 <= x < 2700.0; y_89= 1229.0 + -0.4333x; interpolation
, 2700.0 <= x < 2730.0; y_90= 72.0 + 0.0x; interpolation
, 2730.0 <= x < 2760.0; y_91= -1458.0 + 0.5667x; interpolation
, 2760.0 <= x < 2790.0; y_92= 544.0 + -0.1667x; interpolation
, 2790.0 <= x < 2820.0; y_93= 1188.0 + -0.4x; interpolation
, 2820.0 <= x < 2850.0; y_94= 72.0 + 0.0x; interpolation
, 2850.0 <= x < 2880.0; y_95= -1432.0 + 0.5333x; interpolation
, 2880.0 <= x < 2910.0; y_96= 468.0 + -0.1333x; interpolation
, 2910.0 <= x < 2940.0; y_97= 1236.0 + -0.4x; interpolation
, 2940.0 <= x < 2970.0; y_98= -25.0 + 0.0333x; interpolation
, 2970.0 <= x < 3000.0; y_99= -1691.0 + 0.6x; interpolation
, 3000.0 <= x < 3030.0; y_100= 388.0 + -0.1x; interpolation
, 3030.0 <= x < 3060.0; y_101= 1688.0 + -0.5333x; interpolation
, 3060.0 <= x < 3090.0; y_102= -29.0 + 0.0333x; interpolation
, 3090.0 <= x < 3120.0; y_103= -1763.0 + 0.6x; interpolation
, 3120.0 <= x < 3150.0; y_104= 400.0 + -0.1x; interpolation
, 3150.0 <= x < 3180.0; y_105= 1648.0 + -0.5x; interpolation
, 3180.0 <= x < 3210.0; y_106= 73.0 + 0.0x; interpolation
, 3210.0 <= x < 3240.0; y_107= -1729.0 + 0.5667x; interpolation
, 3240.0 <= x < 3270.0; y_108= 518.0 + -0.1333x; interpolation
, 3270.0 <= x < 3300.0; y_109= 1706.0 + -0.5x; interpolation
, 3300.0 <= x < 3330.0; y_110= -147.0 + 0.0667x; interpolation
, 3330.0 <= x < 3360.0; y_111= 293.0 + -0.0667x; interpolation
, 3360.0 <= x < 3390.0; y_112= -151.0 + 0.0667x; interpolation
, 3390.0 <= x < 3420.0; y_113= -1719.0 + 0.5333x; interpolation
, 3420.0 <= x < 3450.0; y_114= 428.0 + -0.1x; interpolation
, 3450.0 <= x < 3480.0; y_115= 1796.0 + -0.5x; interpolation
, 3480.0 <= x < 3510.0; y_116= -159.0 + 0.0667x; interpolation
, 3510.0 <= x < 3540.0; y_117= -1435.0 + 0.4333x; interpolation
, 3540.0 <= x < 3570.0; y_118= 203.0 + -0.0333x; interpolation
, 3570.0 <= x < 3600.0; y_119= 1737.0 + -0.4667x; interpolation
, 3600.0 <= x < 3630.0; y_120= -48.0 + 0.0333x; interpolation
, 3630.0 <= x < 3660.0; y_121= -1728.0 + 0.5x; interpolation
, 3660.0 <= x < 3690.0; y_122= 450.0 + -0.1x; interpolation
, 3690.0 <= x < 3720.0; y_123= 1670.0 + -0.4333x; interpolation
, 3720.0 <= x < 3750.0; y_124= -175.0 + 0.0667x; interpolation
, 3750.0 <= x < 3780.0; y_125= -1911.0 + 0.5333x; interpolation
, 3780.0 <= x < 3810.0; y_126= 839.0 + -0.2x; interpolation
, 3810.0 <= x < 3840.0; y_127= 1595.0 + -0.4x; interpolation
, 3840.0 <= x < 3870.0; y_128= -183.0 + 0.0667x; interpolation
